site,start,end,B2,B3,B4,B5,B8,B11,TSS1,Secchi1,TSS2,Secchi2,TSS3,Secchi3,TSS4,NDWIratio,sensor
Mamba,2023-09-13T00:00:00Z,2023-09-17T00:00:00Z,300.2715356,456,326.8483146,341.1629213,174.0973783,401.571161,391.4241573,0.927672741,1.428672839,0.709539174,0.430777072,301.3688849,174.8069175,-70.1243907,2.137559729
Mamba,2023-09-18T00:00:00Z,2023-09-22T00:00:00Z,437.7593583,517.7575758,383.1390374,435.4242424,212.657754,399.2335116,450.4483066,1.172189125,1.386649377,0.731490852,0.456609833,438.6276061,213.3892449,-30.90314212,1.902931257
Mamba,2023-09-23T00:00:00Z,2023-09-27T00:00:00Z, nan, nan, nan, nan, nan, nan,736.3110236,0.969460338,1.050237814,0.954477109,0.898161876,696.8533246,664.6158944,NA,3.977077814
Mamba,2023-09-28T00:00:00Z,2023-10-02T00:00:00Z,458.4079422,540.5758123,469.2797834,481.0397112,262.6353791,356.8411552,504.9277978,0.985185572,1.16218018,0.862992261,0.506908146,459.4268486,263.4983713,NA,37.40854154
Mamba,2023-10-03T00:00:00Z,2023-10-07T00:00:00Z,561.894198,632.1501706,560.4539249,621.7952218,606.6006826,782.0136519,596.3020478,1.005790385,1.130313389,0.887488249,1.022916082,562.8945298,607.4881708,NA,56.65984639
Mamba,2023-10-08T00:00:00Z,2023-10-12T00:00:00Z, nan, nan, nan, nan, nan, nan,7912.083582,0.996336431,0.986634939,1.013561859,1.029530199,7936.944017,8146.386696,#NAME?,172.6605609
Mamba,2023-10-13T00:00:00Z,2023-10-17T00:00:00Z, nan, nan, nan, nan, nan, nan,3542.344444,0.696942771,0.921224292,1.094941468,0.960565661,2570.067654,3401.894941,NA,108.8562769
Mamba,2023-10-18T00:00:00Z,2023-10-22T00:00:00Z, nan, nan, nan, nan, nan, nan,823.0380952,1.631427506,1.410706187,0.713596531,0.877862891,1101.135565,708.3993108,NA,79.28679799
Mamba,2023-10-23T00:00:00Z,2023-10-27T00:00:00Z, nan, nan, nan, nan, nan, nan,1700,0.638207044,0.814300961,1.228047182,0.921417591,1197.56689,1551.228047,NA,233.2708959
Mamba,2023-10-28T00:00:00Z,2023-11-01T00:00:00Z, nan, nan, nan, nan, nan, nan,NA,NA,NA,NA,NA,NA,NA,NA,6.371575677
